region,year,quarter,gdp
Latvia,2011,3,6264.422285007029
Latvia,2011,4,6501.34812550824
Latvia,2012,1,5750.399786757
Latvia,2012,2,6435.997349927579
Latvia,2012,3,6722.8146427538095
Latvia,2012,4,6908.912102247839
Latvia,2013,1,5929.82162939064
Latvia,2013,2,6660.74311756071
Latvia,2013,3,7017.83006154894
Latvia,2013,4,7238.945230538699
Latvia,2014,1,6198.6030450852895
Latvia,2014,2,6873.308812325759
Latvia,2014,3,7206.504074918909
Latvia,2014,4,7377.25932724257
Latvia,2015,1,6405.78139992792
Latvia,2015,2,7203.5761727871595
Latvia,2015,3,7554.69019642662
Latvia,2015,4,7600.7168179377295
Latvia,2016,1,6621.626345080529
Latvia,2016,2,7417.66437666072
Latvia,2016,3,7696.8691239444
Latvia,2016,4,7964.83072704216
Latvia,2017,1,6972.506136549449
Latvia,2017,2,7890.5791289809795
Latvia,2017,3,8277.53067471306
Latvia,2017,4,8436.57431850972
Latvia,2018,1,7371.05217472326
Latvia,2018,2,8561.53718149281
Latvia,2018,3,8989.128008813579
Latvia,2018,4,9208.720668694828
Latvia,2019,1,7887.88545901977
Latvia,2019,2,8956.686853193789
Latvia,2019,3,9424.565613847439
Latvia,2019,4,9408.28647799491
Latvia,2020,1,7886.7142981670695
Latvia,2020,2,8074.33426676961
Lithuania,2011,1,8098.225948164689
Lithuania,2011,2,9354.413078770709
Lithuania,2011,3,9798.985738455629
Lithuania,2011,4,9425.853890785409
Lithuania,2012,1,8780.075796606629
Lithuania,2012,2,9765.84188632422
Lithuania,2012,3,10515.03348379641
Lithuania,2012,4,10067.767154150279
Lithuania,2013,1,9036.208675092119
Lithuania,2013,2,10287.828278372608
Lithuania,2013,3,11163.856596192209
Lithuania,2013,4,10549.11426460998
Lithuania,2014,1,9588.52813322544
Lithuania,2014,2,10785.33740859957
Lithuania,2014,3,11594.258209559459
Lithuania,2014,4,10874.46274949004
Lithuania,2015,1,9617.5729223724
Lithuania,2015,2,10970.14659115563
Lithuania,2015,3,11865.14771478897
Lithuania,2015,4,11284.95462836139
Lithuania,2016,1,10030.641355119691
Lithuania,2016,2,11410.385955685559
Lithuania,2016,3,12266.036074668178
Lithuania,2016,4,11839.265059944299
Lithuania,2017,1,10908.075065962528
Lithuania,2017,2,12286.6485056757
Lithuania,2017,3,13416.11603201958
Lithuania,2017,4,12901.5079533432
Lithuania,2018,1,11722.383206844841
Lithuania,2018,2,13221.000633959758
Lithuania,2018,3,14225.73952949109
Lithuania,2018,4,14108.154979880008
Lithuania,2019,1,12659.429005090109
Lithuania,2019,2,14181.82099751484
Lithuania,2019,3,15296.414781029429
Lithuania,2019,4,15011.9398099086
Lithuania,2020,1,13138.433793844408
Lithuania,2020,2,13552.79050352967
Costa Rica,2011,1,8678.01693885152
Costa Rica,2011,2,8467.611054559171
Costa Rica,2011,3,8646.86278359266
Costa Rica,2011,4,9444.40988370868
Costa Rica,2012,1,9702.26919241512
Costa Rica,2012,2,9315.534311277941
Costa Rica,2012,3,9287.17774132005
Costa Rica,2012,4,10230.706459993671
Costa Rica,2013,1,10208.29214126827
Costa Rica,2013,2,9990.93475133032
Costa Rica,2013,3,10003.46378499949
Costa Rica,2013,4,10789.00502809277
Costa Rica,2014,1,11076.99406832524
Costa Rica,2014,2,10920.29647957283
Costa Rica,2014,3,10976.019161841241
Costa Rica,2014,4,11919.440211321631
Costa Rica,2015,1,12082.79037119081
Costa Rica,2015,2,11768.734174090801
